Name	Order	Family	Species	Habitat	Type	AMF Status (FungalRoot database)	RAD1	STR1	STR2	SymRK (DMI2)	CCaMK (DMI3)	CYCLOPS (IDP3)	CASTOR	VAPYRIN	RAM1	ABCB20	CCD	GRAS	HYP4	RFCa	NENA	KinG1	HYP3	D27	FatM	EPP1	SYN	PT4	KinF	NSP2	LIN	NUP133	KinG2	TAU	pp2a	MCA8	CCD8	RAM2	NUP85	DHY	ABCB12	CYTB561	CCD7	DnaJ	NFP	RFCb	DMI1	SEC	HEP	EXO70	HYP2
*Thalassia testudinum* (GCA_037157565.1)	Alismatales	Hydrocharitaceae	Thalassia testudinum	Marine	Genome (Unannotated)	NM-AM	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	FALSE	NA	FALSE	NA	NA	FALSE	FALSE	NA	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	NA	TRUE	NA	NA	NA	TRUE	NA	FALSE	NA	NA	FALSE	NA	FALSE	NA
*Thalassia testudinum* (GCA_037157585.1)	Alismatales	Hydrocharitaceae	Thalassia testudinum	Marine	Genome (Unannotated)	NM-AM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NA	NA	TRUE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA
*Theobroma cacao* (GCF_000208745.1)	Malvales	Malvaceae	Theobroma cacao	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	NA
*Triglochin maritima* (GCA_963682065.1)	Alismatales	Juncaginaceae	Triglochin maritima	Freshwater	Genome (Unannotated)	NM	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	NA	FALSE	NA
*Triglochin maritima* (GCA_963682175.1)	Alismatales	Juncaginaceae	Triglochin maritima	Freshwater	Genome (Unannotated)	NM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	NA	FALSE	NA	NA	FALSE	FALSE	FALSE	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
*Wolffia australiana* (GCA_013350325.1)	Alismatales	Araceae	Wolffia australiana	Freshwater	Genome (Unannotated)	AM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	NA	FALSE	NA
*Wolffia australiana* (GCA_013350365.1)	Alismatales	Araceae	Wolffia australiana	Freshwater	Genome (Unannotated)	AM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	FALSE	NA	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA
*Wolffia australiana* (GCA_019775775.1)	Alismatales	Araceae	Wolffia australiana	Freshwater	Genome (Unannotated)	AM	NA	NA	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	NA	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	NA	FALSE	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	NA
*Wolffia australiana* (GCA_029677425.1)	Alismatales	Araceae	Wolffia australiana	Freshwater	Genome (Unannotated)	AM	NA	NA	NA	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	NA	TRUE	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	FALSE	NA
*Zantedeschia hybrid cultivar* (GCA_030544215.1)	Alismatales	Araceae	Zantedeschia hybrid cultivar	Terrestrial	Genome (Unannotated)	NM-AM	NA	TRUE	NA	FALSE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	FALSE	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	FALSE	NA	TRUE	TRUE
*Zea mays* (GCF_902167145.1)	Poales	Poaceae	Zea mays	Terrestrial	Genome (Annotated)	AM	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
*Zostera capensis* (GJZM01)	Alismatales	Zosteraceae	Zostera capensis	Marine	Transcriptome	NM	FALSE	NA	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	TRUE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Zostera marina* (JGI)	Alismatales	Zosteraceae	Zostera marina	Marine	Genome (Annotated)	NM	NA	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
*Zostera nigricaulis* (GCA_009812395.1)	Alismatales	Zosteraceae	Zostera nigricaulis	Marine	Genome (Unannotated)	NM	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	FALSE	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	NA	FALSE	NA	TRUE	FALSE	FALSE	FALSE	NA
*Zostera noltei* (HACV01)	Alismatales	Zosteraceae	Zostera noltei	Marine	Transcriptome	NM	FALSE	NA	FALSE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	TRUE	NA	NA	FALSE	NA	FALSE	FALSE	FALSE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	NA	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
